Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,10026,2022-03-16,-0.052229778,-0.115432371,-0.115745371,21,100
Market-Adjusted Model,10028,2022-03-16,0.1378048919,0.072743495,0.0742892995,21,100
Market-Adjusted Model,10032,2022-03-16,0.0324391586,-0.029668467,-0.031076434,21,100
Market-Adjusted Model,10044,2022-03-16,-0.041666653,-0.102986608,-0.105182245,21,100
Market-Adjusted Model,10051,2022-03-16,0.0264490299,-0.032824581,-0.037066563,21,100
Market-Adjusted Model,10065,2022-03-16,0.0553672058,-0.007645905,-0.008148387,21,100
Market-Adjusted Model,10066,2022-03-16,-0.002525249,-0.061888491,-0.066040842,21,100
Market-Adjusted Model,10104,2022-03-16,0.0966977819,0.0323279946,0.0331821895,21,100
Market-Adjusted Model,10107,2022-03-16,0.0641124662,0.0026151617,0.0005968738,21,100
Market-Adjusted Model,10113,2022-03-16,0.0608043875,-0.000234442,-0.002711205,21,100
Market-Adjusted Model,10138,2022-03-16,0.1066324066,0.0414591935,0.0431168142,21,100
Market-Adjusted Model,10145,2022-03-16,0.0704792287,0.0057076,0.0069636362,21,100
Market-Adjusted Model,10158,2022-03-16,0.2710570589,0.1966915337,0.2075414665,21,100
Market-Adjusted Model,10200,2022-03-16,-0.028341746,-0.078241468,-0.091857338,21,100
Market-Adjusted Model,10207,2022-03-16,0.0828052084,0.0163924414,0.019289616,21,100
Market-Adjusted Model,10220,2022-03-16,0.0212523827,-0.040051196,-0.04226321,21,100
Market-Adjusted Model,10232,2022-03-16,0.0065559444,-0.057538032,-0.056959648,21,100
Market-Adjusted Model,10252,2022-03-16,0.0239434035,-0.03635502,-0.039572189,21,100
Market-Adjusted Model,10253,2022-03-16,0.3412224001,0.3244155297,0.2777068077,21,100
Market-Adjusted Model,10257,2022-03-16,0.1371862489,0.0779458253,0.0736706565,21,100
Market-Adjusted Model,10258,2022-03-16,0.0953135071,0.0428540907,0.0317979147,21,100
Market-Adjusted Model,10294,2022-03-16,-0.028311368,-0.085361618,-0.09182696,21,100
Market-Adjusted Model,10308,2022-03-16,0.0256006922,-0.036346441,-0.0379149,21,100
Market-Adjusted Model,10318,2022-03-16,0.0084248633,-0.052075038,-0.055090729,21,100
Market-Adjusted Model,10333,2022-03-16,0.2491662546,0.1811873964,0.1856506622,21,100
Market-Adjusted Model,10355,2022-03-16,-0.003831236,-0.065034137,-0.067346829,21,100
Market-Adjusted Model,10382,2022-03-16,-0.099784907,-0.159674475,-0.163300499,21,100
Market-Adjusted Model,10397,2022-03-16,-0.040909075,-0.103675594,-0.104424668,21,100
Market-Adjusted Model,10421,2022-03-16,0.0976263077,0.0475446415,0.0341107153,21,100
Market-Adjusted Model,10443,2022-03-16,0.026460624,-0.035745795,-0.037054968,21,100
Market-Adjusted Model,10463,2022-03-16,2.5256426E-9,-0.029332379,-0.06351559,21,100
Market-Adjusted Model,10501,2022-03-16,-0.085724707,-0.14303952,-0.149240299,21,100
